,Tests,BruteForce,Aproximation
0,0,0,0
1,1,0,0
2,2,28,28
3,3,0,0
4,4,0,0
5,5,5,5
6,6,4,4
7,7,0,0
8,8,0,0
9,9,27,27
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,8,8
20,20,1,1
21,21,6,6
22,22,19,19
23,23,13,13
24,24,26,26
25,25,1,1
26,26,0,0
27,27,0,0
28,28,0,0
29,29,0,0
30,30,0,0
31,31,5,5
32,32,0,0
33,33,0,0
34,34,0,0
35,35,9,9
36,36,0,0
37,37,0,0
38,38,0,0
39,39,0,0
40,40,0,0
41,41,0,0
42,42,0,0
43,43,0,0
44,44,6,6
45,45,0,0
46,46,0,0
47,47,0,0
48,48,0,0
49,49,0,0
